01, 03, 05, 06, 10, 11, 13, 14, 15, 17, 18, 20, 22, 23, 25
01, 03, 04, 05, 10, 11, 13, 14, 16, 17, 18, 20, 22, 23, 25
01, 03, 05, 06, 10, 11, 13, 15, 16, 17, 18, 20, 23, 24, 25
01, 03, 04, 06, 10, 11, 13, 14, 15, 17, 19, 20, 22, 23, 25
01, 03, 05, 10, 11, 13, 14, 15, 16, 17, 18, 20, 22, 24, 25
01, 02, 03, 05, 10, 11, 13, 14, 15, 17, 18, 20, 22, 23, 25
02, 03, 04, 06, 10, 11, 12, 13, 14, 17, 18, 20, 22, 23, 25
01, 03, 05, 07, 10, 11, 13, 14, 15, 17, 18, 20, 22, 23, 25
02, 03, 04, 06, 10, 11, 12, 13, 14, 17, 18, 20, 22, 24, 25
01, 03, 05, 07, 09, 10, 11, 13, 14, 15, 17, 20, 22, 23, 25
02, 03, 04, 06, 08, 10, 11, 12, 13, 14, 18, 20, 22, 24, 25
